Selectionsort: Worst_Cpu_Time
,1000,10000,100000
1,0.9974,83.776,8597.83
2,0.9971,84.774,8677.12
3,0.9973,85.77,8560.58
4,0.9974,84.7734,8588.15
5,0,87.7872,8647.48
6,0.9973,86.7549,8351.93
7,0.9973,85.7707,8319.66
8,0.9974,88.7626,8331.64
9,0.9973,93.7494,8292.13
10,0.9973,88.7627,8378.71
